ml_input,焦虑,悲伤,生气,羞愧,无助,平静,轻松
[事件]: 尝试新发型被朋友说奇怪 [认知]: 我做什么都不对，连审美都这么差，永远做不好决定,50,50,0,50,50,0,0
[事件]: 看到同事升职加薪的消息 [认知]: 我比别人差太多了，再怎么努力也没用，永远追不上,30,60,0,70,85,0,0
[事件]: 看到同龄人结婚生子 [认知]: 我的人生进度太慢了，注定孤独终老，不配拥有幸福家庭。,70,80,20,60,85,0,0
[事件]: 尝试新爱好很快放弃 [认知]: 我做什么都坚持不下去，没有恒心，注定一事无成。,25,50,0,75,75,0,0
[事件]: 家人说我该存钱买房 [认知]: 我经济上太失败了，让家人失望，永远跟不上别人的脚步。,50,60,10,70,55,0,0
[事件]: 同事轻松完成我头疼的任务 [认知]: 我智商有问题，同样的事情别人轻松搞定我却要死磕。,50,50,0,50,50,0,0
[事件]: 照镜子发现新皱纹 [认知]: 我越来越丑了，青春不再，没有任何吸引力了。,75,70,20,60,50,10,5
[事件]: 独自过生日没人记得 [认知]: 我的人际关系真失败，连最亲近的人都想不起我。,50,75,50,75,75,0,0
[事件]: 看到别人旅游照片很羡慕 [认知]: 我的生活枯燥乏味，困在原地，永远体验不到精彩。,30,60,0,25,40,0,0
[事件]: 开会时发言被忽视 [认知]: 我的意见毫无价值，在团队里就是个透明人，说了也白说。,25,50,0,75,75,0,0
[事件]: 得知前任有了新恋情 [认知]: 都是我不好才导致分手，我不值得被爱，没人会真心喜欢我。,40,70,10,65,60,5,0
[事件]: 身体小毛病不断去医院 [认知]: 我体质太差了，是个药罐子，以后会成为别人的负担。,60,55,10,50,65,5,5
[事件]: 学习新技能进度缓慢 [认知]: 我学习能力太差了，脑子笨，什么都学不会，跟不上时代。,55,50,0,60,55,0,0
[事件]: 看到别人父母帮忙带孩子 [认知]: 我什么都得靠自己，没人能依靠，活得特别累特别失败。,70,75,20,60,80,10,5
[事件]: 被领导委婉批评工作 [认知]: 我工作能力不行，随时可能被开除，在职场上毫无竞争力。,85,50,10,70,60,5,5
[事件]: 对比社交媒体上的精致生活 [认知]: 我的生活一团糟，别人都过得那么好，只有我在挣扎。,60,70,20,50,75,10,5
[事件]: 男友忘记纪念日，说工作太忙 [认知]: 他根本不在乎我，这段感情只有我一个人在努力维持，我对他来说根本不重要。,25,75,25,50,75,0,0
[事件]: 面试被拒，对方说我经验不足 [认知]: 我果然是个失败者，什么都做不好，这辈子都不会找到好工作了。,75,80,20,70,85,0,0
[事件]: 脸上长了颗大痘痘，遮瑕也盖不住 [认知]: 我现在丑死了，所有人都在盯着我的痘痘看，心里肯定在嘲笑我。,75,50,25,75,60,0,0
[事件]: 房东突然通知下月涨租500元 [认知]: 我连个安稳的住处都保不住，经济压力这么大，未来一片灰暗，根本看不到希望。,85,60,30,40,80,0,0
[事件]: 体检报告显示一项指标异常偏高 [认知]: 我肯定得了绝症，身体要垮了，人生就要完蛋了，越想越害怕。,85,25,0,0,50,0,0
[事件]: 在会议上发言时突然大脑空白，语无伦次 [认知]: 我当众出了大丑，同事和领导一定觉得我能力很差，以后没法在单位立足了。,85,40,10,80,75,5,0
[事件]: 辛苦做的项目方案被领导全盘否定 [认知]: 我的努力和想法一文不值，在领导眼里我可能就是个废物，再怎么拼命也没用。,60,70,50,80,85,0,0
[事件]: 看到前男友和新女友的甜蜜合照 [认知]: 他这么快就找到更好的人了，说明我毫无吸引力，根本不值得被爱。,80,85,30,70,75,0,0
[事件]: 父母又打电话催婚，说年纪不小了 [认知]: 我的人生是失败的，让父母丢脸了，在亲戚朋友面前都抬不起头。,70,65,30,80,60,10,5
[事件]: 网购的衣服穿上身和模特图差别巨大 [认知]: 我的身材太差了，穿什么都不好看，根本不适合任何漂亮衣服。,30,60,25,55,50,10,5
[事件]: 同事升职加薪了，而我还在原地踏步 [认知]: 我能力太差，永远比不上别人，职业发展已经到头了，没有未来了。,75,70,30,80,85,5,0
[事件]: 在陌生社交场合，完全不知道如何加入别人的谈话 [认知]: 我太无趣了，根本没人想认识我，社交对我来说就是一场灾难。,80,60,10,70,85,5,0
[事件]: 孩子考试成绩很差，老师约谈家长 [认知]: 我是个失败的家长，没有教育好孩子，耽误了他的前途，全是我的错。,70,65,10,80,75,5,0
[事件]: 投资理财亏损了一大笔钱 [认知]: 我真是个蠢货，没有理财头脑，辛辛苦苦攒的钱就这么打水漂了，未来怎么办。,70,60,30,80,75,0,0
[事件]: 尝试学习新技能，但总是学不会，进度缓慢 [认知]: 我太笨了，学习能力有问题，什么都学不好，注定一事无成。,75,80,20,70,85,0,0
[事件]: 男友忘记纪念日 [认知]: 他根本不在乎我，这段感情注定要失败,30,70,20,25,65,0,0
[事件]: 脸上长了几颗痘痘 [认知]: 我太丑了，没人会喜欢这样的我,70,60,20,65,50,10,5
[事件]: 信用卡账单超出预算 [认知]: 我永远无法管理好财务，注定要穷困潦倒,60,30,10,50,40,5,5
[事件]: 体检报告有异常指标 [认知]: 我肯定得了绝症，生命就要结束了,85,60,0,0,70,0,0
[事件]: 聚会中说错一句话 [认知]: 所有人都觉得我是个傻瓜，再也没脸见人,75,50,25,85,40,0,0
[事件]: 工作项目进度落后 [认知]: 我能力太差，根本不配这份工作,50,40,0,75,70,0,0
[事件]: 朋友没有及时回消息 [认知]: 他们肯定讨厌我，我根本没有真正的朋友,60,55,30,25,50,0,0
[事件]: 孩子考试成绩不理想 [认知]: 我是个失败的父母，耽误了孩子的前途,25,50,0,75,75,0,0
[事件]: 看到同事升职加薪 [认知]: 我永远比不上别人，职业生涯毫无希望,50,75,25,25,85,0,0
[事件]: 尝试新爱好遇到困难 [认知]: 我什么都学不会，天生就是个笨拙的人,30,40,0,60,70,0,0
[事件]: 与家人意见不合争吵 [认知]: 我的家庭关系彻底破裂，无法修复了,60,55,40,45,50,10,5
[事件]: 在公开场合发言紧张 [认知]: 我永远克服不了恐惧，是个没用的胆小鬼,70,40,20,65,60,10,5
[事件]: 看到别人身材苗条 [认知]: 我太胖太难看，根本不值得被爱,70,65,20,80,75,5,0
[事件]: 投资出现小额亏损 [认知]: 我完全没有理财头脑，只会越来越穷,50,50,0,75,75,0,0
[事件]: 被领导批评了一次 [认知]: 我在公司毫无价值，随时会被开除,70,60,20,50,65,10,5
[事件]: 独处时感到孤独 [认知]: 我注定要孤独一生，没有人真正需要我,50,75,0,25,75,0,0
[事件]: 面试被拒后连续失眠 [认知]: 我永远都找不到好工作，人生彻底失败了,70,65,20,40,75,10,5
[事件]: 朋友聚会没人主动联系我 [认知]: 我根本不受欢迎，大家其实都讨厌我,80,70,20,75,65,5,5
[事件]: 脸上长了几颗痘痘 [认知]: 我现在丑得没法见人，所有人都会嘲笑我,75,50,25,85,40,0,0
[事件]: 信用卡账单超出预算 [认知]: 我连钱都管不好，这辈子注定穷困潦倒,60,30,0,55,25,0,0
[事件]: 健身一周体重没变化 [认知]: 我的努力全是白费，永远都瘦不下来,50,40,30,60,70,10,5
[事件]: 和恋人因为小事争吵 [认知]: 他/她根本不爱我，这段感情迟早要完,60,55,30,25,50,0,0
[事件]: 会议上发言声音发抖 [认知]: 我太没用了，在公开场合永远出丑,50,25,0,75,25,0,0
[事件]: 父母催婚压力很大 [认知]: 我让全家失望，是个不孝的失败者,60,50,20,75,70,10,5
[事件]: 看到同事升职加薪 [认知]: 我能力太差，永远都比不上别人,30,60,25,55,50,0,0
[事件]: 体检报告有异常指标 [认知]: 我肯定得了绝症，人生就要结束了,85,60,10,5,70,5,0
[事件]: 忘记朋友生日祝福 [认知]: 我是个自私的人，根本不配拥有朋友,60,50,20,70,40,10,5
[事件]: 项目方案被领导批评 [认知]: 我工作能力太差，迟早会被开除,80,40,10,70,60,5,0
[事件]: 在社交平台发动态没人点赞 [认知]: 我的生活毫无价值，没人关心我,60,80,40,70,75,0,0
[事件]: 尝试新发型被说不好看 [认知]: 我怎么打扮都没用，天生就难看,25,50,25,50,50,0,0
[事件]: 孩子考试成绩不理想 [认知]: 我是个失败的父母，耽误了孩子前途,50,50,0,75,75,0,0
[事件]: 看到同龄人买房买车 [认知]: 我的人生落后太多，永远追不上别人,75,50,0,50,75,0,0
[事件]: 暗恋对象和别人约会 [认知]: 我这么糟糕的人，永远都不会有人真心喜欢我，我注定孤独终老。,75,85,10,80,90,0,0
[事件]: 脸上长了几颗痘痘 [认知]: 我的脸彻底毁了，所有人都会用异样的眼光看我，我根本不敢出门见人。,75,50,25,75,50,0,0
[事件]: 信用卡还款日快到了 [认知]: 我连这点钱都还不上，真是个彻头彻尾的失败者，未来一片灰暗。,70,60,20,65,75,10,5
[事件]: 体检报告有一项指标异常 [认知]: 我肯定得了绝症，医生只是没告诉我，我的生命就要走到尽头了。,85,70,10,5,80,5,0
[事件]: 在会议上说错了一句话 [认知]: 所有人都觉得我是个蠢货，他们会一直嘲笑我，我再也抬不起头了。,75,50,10,80,70,5,0
[事件]: 精心准备的方案被领导否决 [认知]: 我做什么都是错的，我的努力毫无价值，我根本不适合这份工作。,80,85,40,75,90,0,0
[事件]: 朋友忘记了我的生日 [认知]: 我根本不重要，没有人真正在乎我，我就是一个可有可无的人。,30,80,20,60,75,0,0
[事件]: 看到镜子里的自己发胖了 [认知]: 我连自己的体重都控制不了，又丑又懒，根本不配拥有美好的东西。,75,70,60,85,80,5,0
[事件]: 孩子考试成绩不理想 [认知]: 都是我的错，我是个糟糕的家长，我把孩子的前途都毁了。,50,50,0,75,75,0,0
[事件]: 和伴侣因为小事争吵 [认知]: 我们的关系完蛋了，他/她一定不爱我了，这段感情不可能再修复了。,75,70,60,40,80,10,5
[事件]: 在社交聚会上感到不自在 [认知]: 我格格不入，像个怪胎，大家肯定都在背后议论我，真希望我能消失。,85,60,20,75,70,10,5
[事件]: 工作项目出现了一个小失误 [认知]: 我搞砸了一切，会给公司带来巨大损失，我马上就要被开除了。,75,40,20,70,60,10,5
[事件]: 看到同龄人事业有成 [认知]: 我这辈子都比不上别人，我的人生已经落后太多，再怎么追赶也没用了。,70,80,20,60,85,5,0
[事件]: 父母唠叨我的生活状态 [认知]: 我让他们太失望了，我是个不孝子，我永远也达不到他们的期望。,60,70,40,85,80,0,0
[事件]: 尝试新事物但失败了 [认知]: 我果然什么都做不好，我没有能力应对任何挑战，还是待在舒适区最安全。,70,60,20,75,80,10,5
[事件]: 独处时感到一阵莫名的低落 [认知]: 这种空虚感会一直跟着我，我永远也快乐不起来，活着真没意思。,40,85,10,20,80,5,0
[事件]: 面试被拒后收到更差offer [认知]: 我果然能力不行，连这种工作都配不上，这辈子就这样了。,70,80,20,60,85,0,0
[事件]: 朋友聚会没人主动联系我 [认知]: 我太无趣了，别人根本不想和我相处，我就是个社交废物。,70,50,25,80,75,0,0
[事件]: 看到同龄人买房买车 [认知]: 我落后太多了，这辈子都追不上别人，活得真失败。,80,75,40,60,85,5,0
[事件]: 精心打扮却被说显老 [认知]: 我长得不好看，再怎么努力也没用，没人会喜欢我。,70,80,60,90,85,0,0
[事件]: 家人住院自己帮不上忙 [认知]: 我真没用，关键时刻一点用都没有，只会拖累家人。,70,80,20,85,90,5,0
[事件]: 项目方案被领导否定 [认知]: 我的想法毫无价值，根本不适合这个行业，迟早被淘汰。,80,70,20,75,85,0,0
[事件]: 伴侣忘记纪念日 [认知]: 我不值得被记住，这段关系里我根本不重要。,50,75,50,75,75,0,0
[事件]: 健身一个月体重没变 [认知]: 我连自己的身体都控制不了，做什么都坚持不下来。,30,40,20,60,70,10,5
[事件]: 会议上发言被打断 [认知]: 我的意见根本不重要，别人都不想听我说话。,60,55,20,50,65,10,5
[事件]: 看到前任过得很好 [认知]: 离开我是对的，我这种人只会耽误别人。,40,70,10,65,60,5,0
[事件]: 父母总拿我和别人比较 [认知]: 我让他们失望了，我永远达不到他们的期望。,40,60,30,55,65,0,0
[事件]: 同事聚餐没叫我 [认知]: 我在单位就是透明人，根本没人把我当回事。,25,75,25,50,75,0,0
[事件]: 尝试新爱好很快就放弃 [认知]: 我什么都做不好，三分钟热度，注定一事无成。,70,75,40,80,85,0,0
[事件]: 看到别人家庭幸福美满 [认知]: 我不配拥有幸福的家庭，我处理不好任何亲密关系。,25,75,0,50,75,0,0
[事件]: 存款比同龄人少很多 [认知]: 我理财能力太差，未来毫无保障，老了会很惨。,75,50,25,60,70,0,0
[事件]: 生病时没人照顾 [认知]: 我人缘太差，关键时刻连个依靠的人都没有。,25,60,30,40,65,0,0
[事件]: 被暗恋对象婉拒后 [认知]: 我注定孤独终老，永远得不到真爱，所有努力都是白费。,70,80,20,60,85,0,0
[事件]: 面试时说话结巴 [认知]: 我彻底搞砸了，面试官一定觉得我是个没用的废物，这辈子都找不到好工作。,75,50,25,75,75,0,0
[事件]: 朋友聚会没叫我 [认知]: 他们肯定都讨厌我，我是个不受欢迎的人，根本不配拥有朋友。,70,85,40,80,75,0,0
[事件]: 脸上长了几颗痘痘 [认知]: 我现在丑得没法见人，所有人都会在背后嘲笑我的长相。,75,50,0,75,50,0,0
[事件]: 信用卡账单超出预算 [认知]: 我连自己的财务都管不好，真是个彻头彻尾的失败者，未来一片黑暗。,75,50,40,85,80,0,0
[事件]: 体检报告有项指标异常 [认知]: 我肯定得了绝症，人生就要完了，一切都来不及了。,85,70,30,25,80,0,0
[事件]: 在会议上说错一句话 [认知]: 同事们肯定都觉得我是个蠢货，我的职业形象彻底毁了。,60,30,0,55,25,0,0
[事件]: 伴侣忘记纪念日 [认知]: 他/她根本不在乎我，这段感情已经名存实亡，我根本不值得被爱。,30,70,40,60,75,0,0
[事件]: 健身一周体重没变 [认知]: 我做什么都没用，永远也瘦不下来，自律对我来说就是笑话。,80,70,60,85,90,5,0
[事件]: 父母又催婚催生 [认知]: 我让他们失望透顶，是个不孝子，永远达不到他们的期望。,60,70,20,80,75,5,0
[事件]: 看到同龄人功成名就 [认知]: 我这辈子都比不上别人，活得毫无价值，人生已经输得一塌糊涂。,80,85,20,75,90,0,0
[事件]: 独处时感到莫名心慌 [认知]: 我心理肯定出大问题了，迟早会崩溃发疯，没人能救我。,85,40,0,20,80,0,0
[事件]: 尝试新爱好很快放弃 [认知]: 我果然是个三分钟热度的人，缺乏恒心，注定一事无成。,25,50,0,75,75,0,0
[事件]: 网购后反复纠结退货 [认知]: 我总是做不出正确的决定，连这点小事都处理不好，真没用。,60,50,10,55,50,5,0
[事件]: 听到别人小声交谈 [认知]: 他们一定是在议论我的缺点，所有人都看不起我。,85,70,20,75,80,5,0
[事件]: 项目进展比同事慢 [认知]: 我能力太差了，迟早会被淘汰，根本不适合这个行业。,75,50,0,60,70,0,0
[事件]: 暗恋对象公开恋情 [认知]: 我永远都得不到爱情，注定孤独终老，没有人会真正喜欢我这样的失败者,30,80,10,60,85,0,0
[事件]: 面试被拒绝多次 [认知]: 我能力太差了，根本找不到工作，这辈子都不会有出息，让家人失望透顶,80,75,20,85,90,0,0
[事件]: 朋友聚会没叫我 [认知]: 我果然是个不受欢迎的人，大家都不喜欢我，我连维持友谊的能力都没有,30,80,20,70,75,0,0
[事件]: 脸上突然爆痘严重 [认知]: 我长得太丑了，别人看到我都会嫌弃，这辈子都没法自信地面对他人,85,70,20,75,80,5,0
[事件]: 房租突然大幅上涨 [认知]: 我连基本生活都负担不起，太没用了，永远摆脱不了穷困潦倒的命运,75,50,25,50,75,0,0
[事件]: 体检报告有异常项 [认知]: 我肯定得了绝症，人生就要完了，一切努力都白费了，未来一片黑暗,85,70,10,5,80,0,0
[事件]: 在会议上说错话 [认知]: 我太蠢了，当众出丑，同事肯定都在嘲笑我，以后再也抬不起头了,80,60,20,85,70,5,0
[事件]: 家人催婚压力巨大 [认知]: 我的人生是失败的，达不到家人的期望，让他们蒙羞，我是个不孝子,75,60,20,85,70,5,0
[事件]: 看到同龄人更成功 [认知]: 我比别人差太多了，永远追不上他们，人生已经输在了起跑线上,60,55,10,30,65,0,0
[事件]: 宠物突然生病去世 [认知]: 我连最亲近的生命都照顾不好，是我害死了它，我不配拥有任何美好,70,90,20,85,75,0,0
[事件]: 辛苦做的方案被否 [认知]: 我的努力毫无价值，想法都是垃圾，在职场上永远是个可有可无的人,30,60,25,70,80,0,0
[事件]: 社交媒体零互动 [认知]: 我的存在毫无意义，发什么都无人关注，我在这个世界上是透明的,60,85,10,70,90,0,0
[事件]: 学习新技能总失败 [认知]: 我太笨了，什么都学不会，注定一事无成，永远无法提升自己,70,80,20,60,85,5,0
[事件]: 亲人发生重大争吵 [认知]: 都是我不好，破坏了家庭和谐，我是个带来灾难的麻烦精,25,50,0,75,75,0,0
[事件]: 被陌生人当众批评 [认知]: 我连陌生人都讨厌，一定是我整个人都有问题，走到哪里都招人厌,70,60,40,80,75,10,5
[事件]: 尝试减肥多次反弹 [认知]: 我连自己的体重都控制不了，缺乏最基本的自律，活该被人看不起,25,50,0,75,50,0,0
[事件]: 面试被拒后看到录取者履历 [认知]: 我永远也比不上那些名校毕业的人，这辈子都找不到好工作了。,30,70,10,40,80,0,0
[事件]: 朋友聚会没人主动找我聊天 [认知]: 我太无趣了，根本没人愿意和我做朋友，我就是个社交废物。,60,70,40,85,80,0,0
[事件]: 脸上长了几颗痘痘 [认知]: 我现在丑得没法见人，所有人都会在背后嘲笑我的皮肤。,75,50,0,75,50,0,0
[事件]: 月度业绩排名垫底 [认知]: 我能力太差了，根本不适合这份工作，迟早会被公司开除。,85,60,20,75,80,5,0
[事件]: 伴侣忘记纪念日 [认知]: 他/她根本不在乎我，这段感情可能从一开始就是个错误。,30,80,20,60,75,0,0
[事件]: 在会议上发言时卡壳 [认知]: 我当众出丑了，同事和领导肯定都觉得我是个蠢货。,70,40,20,75,60,10,5
[事件]: 看到同龄人买房买车 [认知]: 我的人生已经彻底失败了，永远也追不上别人的步伐。,75,70,20,65,80,5,0
[事件]: 体检报告显示一项指标异常 [认知]: 我肯定得了绝症，剩下的日子不多了，一切都完了。,90,80,10,5,85,0,0
[事件]: 辛苦做的方案被领导否决 [认知]: 我的努力毫无价值，我的想法永远都是错的。,30,50,0,70,75,0,0
[事件]: 听到别人在低声交谈并看向自己 [认知]: 他们一定是在说我的坏话，我肯定做了什么让人讨厌的事。,70,40,10,65,50,5,0
[事件]: 尝试新发型被说不好看 [认知]: 我做什么改变都是徒劳的，我这个人从头到脚都没有吸引力。,60,55,20,70,80,10,5
[事件]: 信用卡还款压力大 [认知]: 我连自己的财务都管不好，真是个彻头彻尾的失败者。,60,50,10,70,65,5,0
[事件]: 家人催促结婚生子 [认知]: 我让全家人都失望了，我的人生不符合任何人的期待。,25,50,0,75,75,0,0
[事件]: 运动时崴了脚无法坚持 [认知]: 我意志力太薄弱了，连这点小事都做不好，注定一事无成。,50,40,10,70,60,5,0
[事件]: 看到前任在社交平台秀恩爱 [认知]: 他/她离开我之后过得更好，证明我根本不值得被爱。,80,85,40,75,80,5,0
[事件]: 孩子考试成绩不理想 [认知]: 都是我教育失败，耽误了孩子的前途，我不是个合格的家长。,50,50,0,75,75,0,0
[事件]: 相亲对象多次爽约 [认知]: 我肯定不够好，不值得别人花时间，连见面都懒得来，这辈子可能都找不到伴侣了。,75,70,40,80,85,0,0
[事件]: 朋友聚会没人通知我 [认知]: 我果然是被遗忘和排斥的那个，大家都不喜欢我，我的存在可有可无，社交圈里我永远多余。,70,85,30,60,90,0,0
[事件]: 被领导当众批评方案 [认知]: 我能力太差了，什么都做不好，在同事面前丢尽了脸，以后大家都会看不起我，我根本不配这个职位。,85,75,25,90,80,0,0
[事件]: 看到镜子里自己发胖 [认知]: 我连身材都管理不好，又丑又胖，毫无吸引力，别人看到我都会觉得恶心，不配得到任何人的喜欢。,80,60,20,85,70,0,0
[事件]: 家人催婚压力巨大 [认知]: 我让全家失望了，是个失败者，无法满足父母的期待，不结婚就是自私和不孝，会给家里蒙羞。,80,70,10,85,75,0,0
[事件]: 同事升职而自己原地踏步 [认知]: 我永远比不上别人，再怎么努力也没用，领导根本不认可我，我注定是个平庸的 loser。,75,80,60,85,90,5,0
[事件]: 在公开场合发言结巴 [认知]: 所有人都看到我出丑了，我太笨了，连话都说不好，以后大家都会记得我这个尴尬的场面。,75,50,0,75,50,0,0
[事件]: 信用卡账单超出还款能力 [认知]: 我财务上一团糟，是个没有规划的人，连钱都管不好，未来一片灰暗，永远无法经济独立。,80,70,20,75,85,0,0
[事件]: 体检报告显示多项指标异常 [认知]: 我身体要垮了，都是自己不注意造成的，可能会得重病拖累家人，未来充满恐惧和绝望。,85,60,20,40,80,5,0
[事件]: 尝试新爱好很快放弃 [认知]: 我做什么都三分钟热度，缺乏毅力和恒心，这辈子一事无成，连个像样的兴趣都培养不起来。,30,60,10,70,80,5,0
[事件]: 和伴侣因小事激烈争吵 [认知]: 都是我脾气太差，不会处理关系，把爱我的人推走，我根本不配拥有稳定的亲密关系。,60,70,30,80,75,10,5
[事件]: 看到同龄人事业有成 [认知]: 别人都那么成功，只有我还在原地挣扎，我的人生已经落后太多，永远也追赶不上了。,85,75,25,50,80,0,0
[事件]: 父母生病自己无法贴身照顾 [认知]: 我是个不孝的孩子，只顾自己工作，在父母最需要的时候不在身边，内心充满愧疚和自责。,40,75,20,85,70,0,0
[事件]: 精心准备的提案被客户否决 [认知]: 我的想法毫无价值，专业能力被彻底否定，浪费了大家的时间，我根本不适合这一行。,60,70,50,80,75,0,0
[事件]: 独居时感到强烈孤独 [认知]: 没有人真正关心我，我是如此无趣和乏味，所以才会独自一人，这种孤独感将伴随我一生。,70,85,10,30,80,5,0
[事件]: 学习新技能进展缓慢 [认知]: 我太笨了，理解能力差，学什么都慢，别人轻松掌握的东西我要花好几倍时间，智力上有缺陷。,75,70,20,80,85,5,0
[事件]: 连续三次面试被拒 [认知]: 我是不是真的能力太差，永远找不到好工作了？,60,55,10,20,40,5,0
[事件]: 朋友聚会没人通知我 [认知]: 看来我在他们心里根本不算朋友，一直都是多余的。,25,75,40,30,70,0,0
[事件]: 脸上长了很多痘痘 [认知]: 我这么丑，根本不会有人喜欢我，出门都丢人。,70,60,20,80,50,10,5
[事件]: 被恋人冷暴力一周 [认知]: 他一定是在逼我主动提分手，这段感情从一开始就是错的。,75,70,65,60,70,0,0
[事件]: 看到同事升职加薪 [认知]: 我工作再努力也没用，永远比不上有关系会拍马屁的人。,30,40,70,25,80,0,0
[事件]: 父母催婚压力巨大 [认知]: 我的人生好像只有结婚才算成功，不然就是彻底的失败。,80,60,20,40,70,10,5
[事件]: 投资失败亏损严重 [认知]: 我根本不适合做决定，只会把一切都搞砸，是个废物。,60,70,50,85,80,0,0
[事件]: 体检报告显示异常 [认知]: 我肯定得了重病，人生就要完了，一切都来不及了。,85,70,25,30,80,0,0
[事件]: 在公开场合说错话 [认知]: 所有人都在笑话我，以后再也抬不起头做人了。,50,25,0,75,25,0,0
[事件]: 孩子成绩班级垫底 [认知]: 我是个失败的父母，耽误了孩子的前途和未来。,60,55,0,70,75,0,0
[事件]: 被领导当众批评 [认知]: 我在公司待不下去了，所有人都会看不起我。,80,70,40,75,80,10,5
[事件]: 发现伴侣隐瞒消费 [认知]: 他对我根本没有信任，这段婚姻充满了欺骗和算计。,60,70,80,20,65,10,5
[事件]: 租房遇到黑心中介 [认知]: 社会上都是坏人，我太天真了，根本保护不了自己。,60,50,70,40,75,10,5
